episode,ave_ep_len,ave_ep_rew,qtable_err
0,11.0,-8.9,7.472230551281015e-06
2000,17.874,-8.2126,0.012670542591363765
4000,25.119,-7.4881000000000055,0.013124892956476997
6000,29.308,-7.069200000000003,0.013313389344237177
8000,33.5465,-6.645349999999995,0.013954995959652853
10000,35.969,-6.403099999999991,0.014222759350290107
12000,39.12,-6.087999999999993,0.014995252398027868
14000,43.001,-5.6999,0.01576896964741143
16000,45.125,-5.487500000000005,0.016187788865116202
18000,47.469,-5.253099999999997,0.016831303602414437
20000,51.8315,-4.816849999999999,0.01739048512546332
22000,55.9755,-4.402450000000007,0.018614255164851445
24000,59.6985,-4.03015,0.019394961640138205
26000,65.587,-3.441299999999998,0.02040064157557546
28000,71.682,-2.8318000000000025,0.022205036947754803
30000,75.868,-2.4131999999999976,0.0227881925356285
32000,76.5465,-2.345349999999996,0.02325244165633054
34000,82.0905,-1.7909500000000032,0.02398660312533744
36000,90.276,-0.9724000000000012,0.025472373889442262
38000,90.0355,-0.9964500000000012,0.02475076644740087
40000,99.9215,-0.00784999999999975,0.025946848648634356
42000,101.2595,0.12595000000000123,0.026253918547998266
44000,109.5015,0.950150000000005,0.026378587132469485
46000,116.3635,1.6363500000000128,0.026444612048957046
48000,114.7255,1.472550000000013,0.0268015021013734
50000,118.351,1.8351000000000182,0.026798272436016818
52000,125.066,2.5066000000000135,0.027686409720092175
54000,131.2235,3.1223500000000275,0.0281108134298555
56000,130.3025,3.0302500000000316,0.028489617843434067
58000,138.751,3.875100000000037,0.02872501617354996
60000,140.947,4.0947000000000315,0.028514898108376537
62000,153.9335,5.393350000000035,0.029295133874998425
64000,154.476,5.447600000000038,0.029491234991553938
66000,159.206,5.920600000000042,0.028678676920407393
68000,158.8905,5.889050000000041,0.029442622096740336
70000,166.6225,6.66225000000004,0.03044851321533329
72000,172.9455,7.2945500000000365,0.030146731275305486
74000,173.01,7.301000000000037,0.03020737492502847
76000,175.9695,7.596950000000051,0.030531759226936434
78000,181.824,8.182400000000042,0.030280434317000556
80000,186.481,8.648100000000056,0.030770068511001
82000,190.966,9.096600000000036,0.030990008257093245
84000,190.118,9.011800000000052,0.031267378602960694
86000,197.081,9.708100000000035,0.030842991651675825
88000,197.5,9.750000000000043,0.0321307414477038
90000,206.498,10.649800000000035,0.0318137202487288
92000,205.3205,10.532050000000023,0.03291205505731616
94000,206.435,10.643500000000053,0.032743889125369574
96000,210.5105,11.051050000000027,0.03260353097571361
98000,212.627,11.262700000000045,0.03382841640397916
100000,217.877,11.787700000000056,0.03339127395003417
